nct_id	disease	type	txt
NCT00083590	alz	inclusion	Modified Hachinski score equal to or less than 4.
NCT00083590	alz	inclusion	CT or MRI since onset of memory impairment demonstrating absence of clinically significant focal lesion.
NCT00083590	alz	exclusion	Residence in a skilled nursing facility; but patients in an assisted living facility are acceptable. Excluded Medications:
NCT00083590	alz	exclusion	Use of cholinesterase inhibitors (galantamine, rivastigmine, donepezil, and tacrine) within 2 months of screening.
NCT00083590	alz	exclusion	Regular use of narcotic analgesics (>2 doses per week) within 4 weeks of screening.
NCT00083590	alz	exclusion	Use of medications with significant central nervous system anticholinergic activity within 2 months of screening (e.g. tricyclic antidepressants, diphenhydramine).
NCT00083590	alz	exclusion	Use of anti-Parkinsonian medications (including Sinemet, amantadine, bromocriptine, pergolide, selegiline) within 2 months of screening.
NCT00083590	alz	exclusion	Participation in any other investigational drug study within 2 months of screening (individuals may not participate in any other drug study while participating in this protocol).
NCT00083590	alz	exclusion	Use of estrogen is allowed if the dose has been stable for 3 months prior to screening.
NCT00083590	alz	exclusion	Resting pulse less than 50.
NCT00083590	alz	exclusion	Active neoplastic (cancer) disease (skin tumors other than melanoma are not excluded; participants with stable prostate cancer may be included at the discretion of the Project Director).
NCT00083590	alz	exclusion	Use of another investigational agent within 2 months of screening.
NCT00083590	alz	exclusion	History of clinically significant stroke.
NCT00083590	alz	exclusion	Current evidence or history in the past 2 years of epilepsy, focal brain lesion, head injury with loss of consciousness and/or immediate confusion after the injury, or DSM-IV criteria for any major psychiatric disorder including psychosis, major depression, bipolar disorder, alcohol or substance abuse.
NCT00083590	alz	exclusion	Blindness, deafness, language difficulties or any other disability which may prevent the participant from participating or cooperating in the protocol.
NCT00083590	alz	exclusion	Use of memantine is allowed if the dose has been stable for 3 months prior to screening.
NCT00083590	alz	exclusion	Use of vitamin E is allowed if the dose has been stable for 3 months prior to screening.
NCT00095719	alz	inclusion	Acute agitation in Patients with a DSM-IV diagnosis of Alzheimer's, vascular or mixed Dementia.
NCT00095719	alz	exclusion	Current DSM-IV Axis 1 diagnosis other than Alzheimer's, vascular or mixed Dementia.
NCT00130429	alz	inclusion	Diagnosis of possible or probable Alzheimer's disease
NCT00130429	alz	inclusion	At least 50 years of age
NCT00130429	alz	exclusion	Recent history or clinical evidence of significant neurological disease other than dementia due to Alzheimer's disease
NCT00130429	alz	inclusion	Mini mental state examination score at least 16
NCT00130429	alz	inclusion	Good understanding of both written and verbal English
NCT00130429	alz	inclusion	A recent head scan that is consistent with the diagnosis of Alzheimer's disease
NCT00130429	alz	exclusion	Received any investigational drugs within the previous 12 weeks
NCT00130429	alz	exclusion	Known to have another condition that is associated with dementia
NCT00130429	alz	exclusion	Use of psychotropic medication within the previous 4 weeks (excluding cholinesterase inhibitors, selective serotonin reuptake inhibitors and venlafaxine)
NCT00130429	alz	exclusion	Hormone replacement therapy started or changed within the previous 6 months
NCT00209456	alz	exclusion	Subjects are not eligible if they have a Mini Mental State Examination (MMSE) score of <10 and use medication known or suspected to interact with the striatal uptake DaTSCAN to the dopamine transporter.
NCT00209456	alz	exclusion	Furthermore subjects are not eligible if they were diagnosed with idiopathic Parkinson’s Disease (PD), with persistent severe depression, normal pressure hydrocephalus, multiple system atrophy, cortico-basal degeneration or Huntington’s Chorea Disease.
NCT00209456	alz	inclusion	Subjects must be adults between 55 to 90 years of age with an established diagnosis for dementia in accordance with DSM-IV criteria and have to fulfil at least one of the following: The ICC criteria for probable and possible DLB, the National Institute of Neurological and Communicative Disorders and Stroke and Alzheimer Disease and Related Disorders Association (NINCDS-ADRDA) for Alzheimer’s Disease (AD), or the National Institute of Neurological and Communicative Disorders and Association Internationale Pour la Recherche et l’Enseignement en Neurosciences (NINCS-AIREN) for Vascular Dementia (VaD).
NCT00231946	alz	inclusion	No other significant or interfering medical conditions
NCT00231946	alz	exclusion	Significant neurological disease affecting the brain or psychiatric disease other than AD, such as current untreated major depression, schizophrenia, epilepsy, Parkinson's disease, Creutzfeldt-Jakob's disease, or clinical episode of stroke
NCT00231946	alz	exclusion	Laboratory or clinical signs of untreated, clinically significant abnormal thyroid function, in the Investigator's opinion
NCT00231946	alz	exclusion	Received other investigational drugs within 30 days or 5 half-lives prior to baseline, whichever is longer
NCT00231946	alz	inclusion	60 years of age or older
NCT00231946	alz	inclusion	Diagnosis of probable mild-to-moderate Alzheimer's Disease
NCT00231946	alz	inclusion	On a stable dose of an acetylcholinesterase inhibitor (including, but not limited to: donepezil, galantamine, rivastigmine, and tacrine) for at least 120 days prior to baseline and will likely remain on the drug throughout the trial; all participants must be on acetylcholinesterase inhibitors
NCT00231946	alz	exclusion	Other exclusion criteria exist--eligibility can be assessed by the trial site
NCT00231946	alz	exclusion	Taking other medications, with the exception of estrogen, known to affect serum gonadotropin (Gn) concentrations, including but not limited to goserelin, danazol, or leuprolide
NCT00244569	fl	inclusion	Adult men and women (age 18+)
NCT00244569	fl	exclusion	Severe congestive heart failure
NCT00244569	fl	inclusion	Liver histology consistent with NAFLD/NASH performed within the past 24 months
NCT00244569	fl	inclusion	Patients with cirrhosis must have ultrasound, computed tomography (CT) scan, or magnetic resonance imaging (MRI) examination of liver performed within the previous 6 months demonstrating no evidence for hepatocellular carcinoma
NCT00244569	fl	exclusion	Any liver disease beyond NAFLD/NASH
NCT00244569	fl	exclusion	Any autoimmune disorder which is currently being treated with immune suppressive medication
NCT00244569	fl	exclusion	Proven or suspected hepatocellular carcinoma
NCT00244569	fl	exclusion	Previous surgical bypass surgery for morbid obesity
NCT00244569	fl	exclusion	Extensive small bowel resection
NCT00244569	fl	exclusion	Patients currently receiving total parenteral nutrition
NCT00244569	fl	exclusion	Recipients of any organ transplant
NCT00244569	fl	exclusion	Women who are pregnant
NCT00244569	fl	exclusion	Patients who, in the opinion of the investigator, should not be enrolled in this study
NCT00244569	fl	exclusion	Uncontrolled diabetes mellitus
NCT00244569	fl	exclusion	Severe pulmonary hypertension
NCT00244569	fl	exclusion	Chronic renal insufficiency defined by a serum creatinine above normal
NCT00266019	fl	inclusion	1. Evidence of chronic steatohepatitis on liver biopsy. 2. Elevated alanine or aspartate aminotransferase values (ALT > 41 or AST > 34) within 3 months of enrollment 3. Absence of another form of liver disease 4. Body mass index between 25-50 kg/m2. 5. At least 18 years of age 6. Absence of significant alcohol consumption (more than one standard drink per day). 7. Able to walk 2 blocks or a quarter of a mile without stopping 8. Willing to complete a two-week run-in period with successful completion of self-monitoring records.
NCT00266019	fl	exclusion	1. < 18 years of age 2. Significant alcohol consumption (> 1 standard drink per day) 3. Contraindications to obtaining a liver biopsy 4. Unable to walk 2 blocks or a quarter of a mile without stopping 5. Currently pregnant or pregnant in the previous six months 6. Currently engaged in an active weight-loss program or taking weight-loss medication 7. Report conditions that, in the judgment of the investigators, render potential participants unlikely to follow the protocol for 12 months, including illness likely to be terminal within 2 years, plans to move, substance abuse, or other significant psychiatric problems
NCT00267670	fl	inclusion	1. Subjects must be willing to give written informed consent 2. Diagnosis of steatohepatitis Grade >= 1 (Brunt et al. criteria - Am J Gastroenterology 1999;94(9)2467-74) on biopsy within 6 months prior to entry into protocol 3. No histologic evidence of cirrhosis 4. Persistent ALT elevation (> 1.5 the upper limit normal) over 6 months prior to entry into study 5. Adult subjects 18-65 years of age of any race or gender 6. Compensated liver disease with the following hematologic, biochemical, and serological criteria on entry into protocol:
NCT00267670	fl	inclusion	Serum creatinine within normal limits 7. Hemoglobin A1c (HgbA1c) < 7% 8. Antinuclear antibodies (ANA) < 1:160 9. Anti-smooth muscle Ab negative 10. Serum hepatitis B surface antigen (HepBsAg) negative 11. Serum hepatitis C antibody (HepC Ab) negative 12. Iron/total iron binding capacity (TIBC) ratio (transferrin saturation) < 45% 13. Alpha-1-antitrypsin level within normal limits 14. Ceruloplasmin level within normal limits 15. Negative pregnancy test (females) 16. Concomitant use of lipid lowering agents at study entry will not exclude patients from the study.
NCT00267670	fl	exclusion	1. Evidence of decompensated cirrhosis 2. Active gastrointestinal (GI) bleeding 3. Renal failure (creatinine clearance < 80 mL/min) 4. Active alcohol or drug abuse 5. Uncontrolled diabetes (HgbA1c > 7) 6. Current treatment with anti-diabetic medications such as thiazolidinediones or metformin (stable doses of sulfonylureas are acceptable) 7. Current treatment with anti-TNF alpha medication (i.e. Remicade or Enbrel) 8. Current treatment with vitamin E 9. Alcohol consumption < 20 g/day (males) or < 10 g/day (females) - assessed by one physician and confirmed with one family member. 10. HIV positive status 11. Any history of cerebral and/or retinal hemorrhage 12. Prior intolerance of pentoxifylline or any other methylxanthine (i.e. caffeine, theophylline, or theobromine) 13. Current use of theophylline 14. Known diagnosis of malignancy 15. Any other conditions which the investigator feels would make the subject unsuitable for enrollment, or could interfere with the subject completing the protocol
NCT00267670	fl	inclusion	Neutrophil count > 1.5 K/UL
NCT00267670	fl	inclusion	Platelets > 100 K/UL
NCT00267670	fl	inclusion	Hemoglobin > 11 gm/dL for females and > 12 gm/dL for males
NCT00267670	fl	inclusion	White blood cell (WBC) > 2.5 K/UL
NCT00267670	fl	inclusion	Albumin > 3.2 g/dL
NCT00267670	fl	inclusion	Direct bilirubin, within normal limits
NCT00267670	fl	inclusion	Indirect bilirubin within normal limits (unless non-hepatitis factors such as Gilbert's disease explain indirect bilirubin rise. In such cases total bilirubin must be < 3.0 mg/dL)
NCT00371254	bc	exclusion	Symptomatic CNS metastasis
NCT00371254	bc	inclusion	females, 18 or older
NCT00371254	bc	inclusion	recurrent or progressive locally advanced, or 'triple negative' metastatic breast cancer
NCT00371254	bc	inclusion	paraffin-embedded tissue block must be available
NCT00371254	bc	inclusion	measurable disease
NCT00371254	bc	inclusion	prior chemotherapy with an anthracycline, a taxane, or both (neoadjuvant, adjuvant, or metastatic setting)
NCT00371254	bc	inclusion	0, 1 or 2 chemotherapies in the metastatic setting
NCT00371254	bc	inclusion	adequate organ function
NCT00371254	bc	exclusion	Metastatic disease confined to bone only
NCT00371254	bc	exclusion	Concurrent medical condition which may increase the risk of toxicity
NCT00371254	bc	exclusion	Unable to take oral medication
NCT00428389	alz	inclusion	Be at least 50 years of age;
NCT00428389	alz	inclusion	Have an MMSE score of > or = 10 and < or = 24;
NCT00428389	alz	inclusion	Must have a caregiver who is able to attend all study visits;
NCT00428389	alz	inclusion	Have received continuous treatment with donepezil for at least 6 months prior to screening, and received a stable dose of 5 mg/day or 10 mg/day for at least the last 3 of these 6 months.
NCT00428389	alz	inclusion	Have a diagnosis of probable Alzheimer's Disease;
NCT00428389	alz	exclusion	Digestive problems related to peptic ulcer;
NCT00428389	alz	exclusion	Urinary obstruction or current severe urinary tract infection;
NCT00428389	alz	exclusion	Abnormal thyroid function tests;
NCT00428389	alz	exclusion	Low folate or Vitamin B12;
NCT00428389	alz	exclusion	Have a disability that may prevent the patient from completing all study requirements;
NCT00428389	alz	exclusion	Have a current diagnosis of an active skin lesion/disorder that would prevent adhesion of a patch; Other protocol-defined inclusion/exclusion criteria may apply
NCT00428389	alz	exclusion	Have a history within the past year or current diagnosis of cerebrovascular disease;
NCT00428389	alz	exclusion	Have a current diagnosis of severe or unstable cardiovascular disease; Have a history of myocardial infarction (MI) in the last six months;
NCT00428389	alz	exclusion	Have an advanced, severe, progressive, or unstable disease of any type that may interfere with efficacy and safety assessments or put the patient at special risk;
NCT00428389	alz	exclusion	Have a history of malignancy of any organ system, treated or untreated, within the past 5 years;
NCT00428389	alz	exclusion	Severe or unstable respiratory conditions (e.g., severe asthma , severe pulmonary (lung) disease);
NCT00443079	fl	inclusion	Abnormal ALT
NCT00443079	fl	exclusion	Uncontrolled diabetes
NCT00443079	fl	inclusion	Liver biopsy within 12 months demonstrating NASH
NCT00443079	fl	exclusion	Excess alcohol consumption
NCT00443079	fl	exclusion	Hepatitis B, hepatitis C, or other chronic liver conditions
NCT00443079	fl	exclusion	Abnormal kidney function
NCT00457639	fl	inclusion	Patients with lipodystrophies as diagnosed by clinical criteria.
NCT00457639	fl	inclusion	Hepatic steatosis (>5.6% hepatic triglyceride content) as demonstrated by 1H magnetic resonance spectroscopy.
NCT00457639	fl	inclusion	Alcohol intake of less than 40 g per week.
NCT00457639	fl	exclusion	Laboratory or other histologic findings highly suggestive of liver disease due to causes other than non-alcoholic steatohepatitis, such as chronic viral hepatitis, autoimmune hepatitis, primary biliary cirrhosis, biliary obstruction or genetic liver diseases such as Wilson's disease, hemochromatosis or alpha-1-antitrypsin deficiency.
NCT00457639	fl	exclusion	Treatment with drugs associated with steatohepatitis, e.g., corticosteroids, high dose estrogens, methotrexate, amiodarone, , sulfasalazine, or oxacillin in the 6 months prior to the study.
NCT00457639	fl	inclusion	Age 6-70 years.
NCT00457639	fl	exclusion	Evidence of hepatocellular carcinoma: alpha-fetoprotein levels greater than 200 ng/ml and/or liver mass on imaging study suggestive of liver cancer.
NCT00457639	fl	exclusion	Use of drugs which can potentially decrease hepatic steatosis during previous 3 months; ursodeoxycholic acid, high-dose vitamin E, betaine, acetylcysteine and choline. Thiazolidinediones are allowed if dose has been stable for 3 months prior to screening.
NCT00457639	fl	exclusion	Significant systemic or major illnesses other than liver disease, such as congestive heart failure, cerebrovascular disease, respiratory failure, renal failure (serum creatinine >2 mg/dL), acute pancreatitis, organ transplantation, serious psychiatric disease, and malignancy, that could interfere with the trial and adequate follow up.
NCT00457639	fl	exclusion	Decompensated liver disease as evidenced by clinical features of hepatic failure (variceal bleeding, ascites, hepatic encephalopathy etc.) and laboratory investigations (prolonged prothrombin time, hypoalbuminemia, presence of esophageal varices etc.)
NCT00457639	fl	exclusion	Acute medical illnesses precluding participation in the studies.
NCT00457639	fl	exclusion	Known HIV-infected patient.
NCT00457639	fl	exclusion	Current substance abuse.
NCT00457639	fl	exclusion	Pregnant or lactating women.
NCT00457639	fl	exclusion	Hematocrit of less than 30%. - History of weight loss during past 3 months.
NCT00457639	fl	exclusion	Patients on bile acid binding resins, cholestyramine, colestipol, colesevelam.
NCT00457639	fl	exclusion	Hypersensitivity or intolerance to CA or any components of its formulation
NCT00471211	alz	inclusion	diagnosis of probable early Alzheimer's disease
NCT00471211	alz	exclusion	unstable and significant medical conditions
NCT00471211	alz	inclusion	stable dose of acetylcholinesterase inhibitor
NCT00471211	alz	inclusion	community dwelling
NCT00471211	alz	inclusion	stable medical condition
NCT00471211	alz	exclusion	recurrent major psychiatric disorder
NCT00471211	alz	exclusion	treatment with memantine
NCT00486044	alz	inclusion	Parent with Alzheimer's disease
NCT00486044	alz	exclusion	Current use of cholesterol-lowering medication
NCT00486044	alz	exclusion	Active liver disease
NCT00486044	alz	exclusion	History of adverse reaction to statins
NCT00486044	alz	inclusion	Age 35 to 69
NCT00486044	alz	exclusion	Ethical contraindication to placebo (persons with high vascular risk)
NCT00486044	alz	exclusion	Contraindication to lumbar puncture
NCT00486044	alz	exclusion	Elevated lab values (creatine kinase and creatinine)
NCT00486044	alz	exclusion	Use of medications known to interact with statins
NCT00486044	alz	exclusion	History of dementia
NCT00486044	alz	exclusion	Currently pregnant or planning to become pregnant
NCT00486044	alz	exclusion	Use of large quantities of grapefruit juice (more than 1 quart per day)
NCT00486044	alz	exclusion	Current involvement in another investigational drug study
NCT00486044	alz	exclusion	Contraindications to MRI (for MRI sub-study)
NCT00500500	alz	inclusion	female or male of 50 to 85 years old with a care giver
NCT00500500	alz	inclusion	Mini Mental Status (MMS) test between 16 to 26 inclusive
NCT00500500	alz	inclusion	Clinical Dementia Rating (CDR) test inferior or equal to 1
NCT00500500	alz	inclusion	National Institute of Neurological and Communicative Disorders and Stroke / Alzheimer's Disease and Related Disorders Association (NINCDS/ADRDA) test positive for an Alzheimer's disease
NCT00500500	alz	inclusion	Diagnostic and Statistical Manual of Mental Disorders, 4th Edition (DSM IV) test positive for dementia
NCT00500500	alz	exclusion	patient already treated by medicines which could interfere with the study
NCT00500500	alz	exclusion	low level of vitamin B12 and folate which are considered as clinically relevant
NCT00500500	alz	exclusion	clinically relevant pathologies (eg: pulmonary illness, cardiovascular illness; evolutive cancer, neurological illness, blood illness….)
NCT00501592	fl	inclusion	Symptoms of diabetes plus casual plasma glucose concentration >200 mg/dL (11.1 mmol/L) or
NCT00501592	fl	inclusion	Fasting plasma glucose >126 mg/dL (7.0 mmol/L) or
NCT00501592	fl	inclusion	2-hour post-load glucose >200 mg/dL (11.1 mmol/L) during a 75 g oral glucose tolerance test (GTT).
NCT00501592	fl	inclusion	Type 2 diabetes, defined by the American Diabetes Association (ADA), as one of the following criteria:
NCT00501592	fl	inclusion	Alanine aminotransferase (ALT) ≥47 U/L for females and ≥56 U/L for males
NCT00501592	fl	inclusion	Aspartate aminotransferase (AST) ≥47 U/L for females and ≥60 U/L for males
NCT00501592	fl	inclusion	Enlarged liver (demonstrated by ultrasound or other imaging technique)
NCT00501592	fl	inclusion	Presumed NAFLD, defined by one of the following criteria:
NCT00501592	fl	inclusion	Diagnostic histological findings shown on prior biopsy (in the last 5 years).
NCT00501592	fl	exclusion	Bilirubin >2 × ULN
NCT00501592	fl	exclusion	ALT >155 U/L for females and >185 U/L for males.
NCT00501592	fl	exclusion	AST >155 U/L for females and >200 U/L for males.
NCT00501592	fl	exclusion	Patients taking any antidiabetic medications, with the exception of metformin and sulfonylureas. If the HbA1c is <11%, patients may be enrolled who have been withdrawn from all other diabetic medications as specified in the protocol, at the discretion of the Principal Investigator.
NCT00568776	alz	inclusion	Stable doses of medications (cholinesterase inhibitors and memantine allowed)
NCT00568776	alz	inclusion	Caregiver is able to attend all study visits
NCT00568776	alz	inclusion	Fluency in English, French, or Spanish
NCT00568776	alz	exclusion	Significant medical illness
NCT00568776	alz	exclusion	History of stroke or seizure
NCT00568776	alz	exclusion	Significant neurological disease other than AD
NCT00568776	alz	exclusion	Major psychiatric disorder
NCT00568776	alz	inclusion	Diagnosis of probable AD
NCT00568776	alz	inclusion	Age 50 to 85 years, inclusive
NCT00568776	alz	inclusion	Mini-Mental Status Exam (MMSE) score of 16-26, inclusive
NCT00568776	alz	inclusion	Brain magnetic resonance imaging (MRI) scan consistent with the diagnosis of AD
NCT00568776	alz	exclusion	Prior treatment with certain experimental medicines
NCT00568776	alz	exclusion	Presence of pacemakers or foreign metal objects in the eyes, skin, or body that would prevent patient from having MRI scan
NCT00568776	alz	exclusion	History of a heart attack within the last 2 years
NCT00577148	fl	exclusion	Excessive alcohol use
NCT00577148	fl	inclusion	Patients with Type 2 diabetes mellitus and a diagnosis of NASH
NCT00577148	fl	exclusion	Previous or current hepatocellular carcinoma
NCT00577148	fl	exclusion	Use of medication known to cause steatosis
NCT00577148	fl	exclusion	Presence of Type 1 diabetes mellitus
NCT00577148	fl	exclusion	Other chronic liver disease
NCT00577148	fl	exclusion	Presence of any severe medical or psychological condition that, in the opinion of the investigator, would compromise the patient's safe participation including uncontrolled serious psychiatric illness such a major depression within the last 2 years, and history of other severe psychiatric disorders The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.
NCT00577148	fl	exclusion	Previous bariatric surgery
NCT00577148	fl	exclusion	Pregnancy or breastfeeding
NCT00582855	alz	exclusion	Reported use of tobacco products in the previous 3 months or have a urine cotinine level greater than 500 ng/ml
NCT00582855	alz	exclusion	Past medical history of clinically significant electrocardiogram (ECG) abnormalities or a family history (grandparents, parents, and siblings) of prolonged QT-interval syndrome
NCT00582855	alz	exclusion	Institutionalized
NCT00582855	alz	exclusion	Disability that may prevent completion of all study requirements (e.g., blindness, deafness, or communication difficulty)
NCT00582855	alz	inclusion	Willing and able to give written informed consent
NCT00582855	alz	inclusion	Meet the diagnostic criteria for either amnestic mild cognitive impairment (amnestic MCI) or mild Alzheimer's Disease (AD).
NCT00582855	alz	exclusion	History or current diagnosis of conditions specified in the protocol. Other protocol-defined inclusion/exclusion criteria may apply.
NCT00582855	alz	inclusion	Daily contact with a primary caregiver/partner
NCT00582855	alz	exclusion	Immune therapy targeting Alzheimer beta amyloid within the last 12 months
NCT00582855	alz	inclusion	Structural brain scan within the last 6 months prior to randomization that indicates no other underlying disease, in particular no evidence for vascular pathology except for normal age-related white matter/incidental white matter changes which is normal for this age group.
NCT00594568	alz	exclusion	Has ever had active vaccination for AD
NCT00594568	alz	inclusion	Modified Hachinski Ischemia Scale score of less than or equal to 4
NCT00594568	alz	exclusion	Chronic alcohol or drug abuse within the past 5 years
NCT00594568	alz	inclusion	Meets criteria for mild to moderate Alzheimer's disease (AD) with Mini-Mental State Examination (MMSE) score of 16-26 at Visit 1
NCT00594568	alz	exclusion	Is not capable of swallowing whole oral medication
NCT00594568	alz	inclusion	Geriatric Depression Scale score of less than or equal to 6
NCT00594568	alz	inclusion	A magnetic resonance imaging (MRI) or computerized tomography (CT) scan in the last 2 years with no findings inconsistent with a diagnosis of AD
NCT00594568	alz	inclusion	If female, must be without menstruation for at least 12 consecutive months or have had both ovaries removed
NCT00594568	alz	exclusion	Has serious or unstable illnesses
NCT00594568	alz	exclusion	Does not have a reliable caregiver
NCT00603408	bc	inclusion	Tumor classified as clinically stage T2, T3 or T4 with any N (NX, N1, N2, or N3).
NCT00603408	bc	inclusion	Tumor does not express the following biomarkers: estrogen receptor, progesterone receptor, Her2/neu
NCT00603408	bc	inclusion	Patients must be >= 18 years of age
NCT00603408	bc	inclusion	Patients must be newly diagnosed with primary invasive ductal breast adenocarcinoma.
NCT00603408	bc	exclusion	No prior malignancies with the exception of curatively treated basal or squamous carcinoma of the skin or history of previous malignancies, treated with at least greater than 5 years disease free survival.
NCT00603408	bc	exclusion	Women of child bearing potential may not be currently pregnant or breastfeeding at time of registration and must agree to use adequate contraception.
NCT00603408	bc	exclusion	Karnofsky Performance Status of <= 70.
NCT00603408	bc	exclusion	Patients with known history neural deficiencies (e.g. peripheral neuropathy).
NCT00603408	bc	exclusion	Patients with a known hearing impairment (hearing loss or severe tinnitus).
NCT00603408	bc	exclusion	Male patients
NCT00603408	bc	inclusion	Bilirubin <= 1.5 x upper limit of institutional normal.
NCT00603408	bc	inclusion	Adequate organ function defined as:
NCT00603408	bc	inclusion	Serum Creatinine <= 1.5 x upper limit of institutional normal.
NCT00603408	bc	inclusion	ALT, AST, ALK Phos <= 1.5 x upper limit of institutional normal.
NCT00603408	bc	inclusion	Normal left ventricular function (LVEF > 50%) by MUGA or ECHO.
NCT00603408	bc	exclusion	No evidence of distant metastasis present by CT, Bone scan, or physical exam. If the bone scan or CT scans demonstrate indeterminate lesions, the nature of these lesions should be further clarified by additional testing such as PET or MRI.
NCT00606476	alz	inclusion	A subject must meet ALL of the following criteria to be considered for enrollment into this study: 1. Signed and dated written informed consent obtained from the subject and/or the subject's caregiver in accordance with the local regulations. 2. Subjects must have completed Study 201 Visit 22 (Week 78), or Study 102 Visit 11 (Week 16). 3. Magnetic resonance imaging scan of sufficient quality for the Radiologist to evaluate subject safety from Study 201 Visit 21 (Week 71), or Study 251 Screening Visit for subjects from Study 102. 4. Lives at home with appropriate caregiver capable of accompanying the subject on all clinic visits, or community dwelling with caregiver capable of accompanying the subject on all clinic visits and visiting with the subject approximately five times per week for the duration of the study. 5. In the opinion of the investigator, the subject and the caregiver will be compliant.
